country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Greenland,19k,19.7k,19.1k,18.8k,20.4k,21.9k,22.8k,23.5k,25.7k,26.4k,28.9k,29.8k,29.8k,29k,31.3k,34.6k,34.6k,40.3k,,,,,,,,,,,,,,,,
Guatemala,3230,3430,3570,3710,3840,4010,4070,4220,4390,4500,4660,4800,4890,5010,5170,5390,5700,6080,6330,6250,6340,6600,7110,7520,8020,8720,9000,9360,9740,10.6k,10.8k,11.5k,12.8k,13.5k
Guyana,2690,2810,3220,3700,4170,4490,5060,5390,5400,5580,5720,5950,6110,6240,6560,6690,7120,8080,8400,8780,9370,10k,10.7k,11.3k,11.2k,11.5k,11.4k,12k,12.2k,13k,16.5k,18.3k,24.1k,33.2k
"Hong Kong, China",17.7k,19.1k,20.6k,22.9k,24.2k,24.9k,24.9k,26.6k,25.6k,26.4k,28.4k,29.5k,29.8k,32k,35.3k,38.3k,42.7k,46.7k,49.6k,47.2k,50.2k,53.7k,52.9k,54.5k,55.6k,57.1k,58.2k,61.8k,63.8k,64.3k,61.6k,70.5k,73.1k,78k
Honduras,1920,1860,1950,2110,2100,2210,2220,2330,2390,2360,2510,2560,2610,2700,2850,3050,3270,3550,3690,3580,3580,3690,3740,3850,4100,4520,4820,5280,5190,5320,5000,5680,6270,6650
Croatia,,,,,,,,,,9730,10.5k,11.4k,12.6k,13.2k,14.4k,15.1k,17.2k,19.1k,20.3k,19.6k,19.4k,20.5k,20.9k,22k,22.4k,23.7k,25.3k,27.8k,29.5k,33k,32.1k,36.8k,41.8k,45.4k
Haiti,2190,2270,2150,2040,1810,1990,2070,2130,2150,2200,2230,2230,2240,2320,2320,2420,2510,2650,2730,2860,2700,2870,2840,3050,3090,3030,3260,3350,3210,3250,3110,3140,3270,3280
Hungary,8790,8040,8030,8210,8610,8790,8930,9220,9750,10.2k,11.2k,12.4k,13.7k,14.6k,15.3k,16k,17.3k,17.6k,19.4k,19.8k,20.7k,21.9k,22.3k,23.8k,24.5k,25.5k,27.2k,28.3k,30.7k,34.2k,34.2k,37.1k,42.4k,43.4k
Indonesia,2890,3150,3370,3650,3990,4320,4680,4890,4110,4050,4330,4670,4920,5150,5440,5840,6300,6800,7300,7590,8130,8690,9260,9570,9730,9690,9930,10.3k,11k,11.6k,11.4k,12.4k,13.9k,15k
India,1200,1220,1290,1360,1450,1560,1680,1740,1840,1990,2070,2180,2260,2440,2660,2920,3200,3490,3610,3860,4160,4420,4760,4950,5130,5360,5730,6080,6640,7080,6870,7960,9030,10k
Ireland,12.8k,13.4k,13.9k,14.6k,15.8k,17.3k,18.8k,20.4k,22.5k,23.6k,26.3k,27.8k,29.5k,31.3k,33.4k,35k,38.8k,40.5k,38.2k,34.6k,36.3k,36.7k,37.4k,40.4k,43.4k,53.3k,58.2k,62.2k,65.9k,70.6k,73.5k,85.6k,95.9k,95.1k
Iran,7250,8240,8530,8570,8550,8830,9470,9670,9860,10.1k,10.8k,11.1k,12.1k,13.2k,13.8k,14.4k,15.3k,16.7k,16.9k,16.9k,17.9k,18.5k,16.4k,15.7k,15.5k,13.7k,14.6k,15.1k,14.9k,13.3k,14.1k,14.9k,16.4k,17.6k
Iraq,,2650,3510,4510,4560,4600,5030,5940,7860,9030,10.6k,10.6k,9340,5970,9300,9550,10.4k,11k,12k,12k,12.3k,12.9k,14.5k,14.6k,13.1k,9250,8990,10.1k,11.9k,12.2k,10.5k,12.6k,14.3k,14.2k
Iceland,21.1k,21.7k,21.3k,21.8k,22.7k,23.2k,24.1k,26.1k,28k,28.9k,28.8k,30.9k,32.5k,32.1k,34.1k,35.8k,37.3k,39.6k,35.7k,35k,33.7k,36.2k,38.3k,44.1k,45.4k,49.1k,54.5k,55.9k,58.2k,62.2k,57.6k,61.8k,73k,77.7k
Israel,15.1k,16k,17k,17.6k,18.8k,20.1k,21k,21.5k,22.1k,22.4k,24.2k,24.7k,25.1k,23.8k,25.3k,25.4k,26.2k,28.1k,27.5k,27.3k,28.8k,30.8k,31.6k,34k,34.5k,35.5k,37.7k,39.1k,40k,41k,40.7k,45.4k,53.1k,53.3k
Italy,18.4k,19.3k,19.8k,20.1k,21k,22.1k,22.8k,23.8k,24.9k,25.6k,27k,28k,28.6k,29.1k,29.5k,30.2k,32.6k,34.2k,35.2k,34.6k,35.1k,36.5k,36.4k,36.3k,36.2k,36.6k,40k,41.8k,43.5k,46.8k,44.8k,49.9k,55.8k,56.5k
Jamaica,4370,4660,4930,5740,5720,5960,6170,6120,5990,6070,6210,6340,6430,6760,7020,7240,7710,8000,8140,7690,7780,8050,8260,8430,8550,8710,9000,9540,9660,9800,8700,9300,10.6k,11.3k
Jordan,4090,3850,4350,4460,4590,4820,4840,5020,5170,5300,5710,6060,6300,6580,7240,7900,8290,8700,9150,9430,9340,9550,9620,9720,9040,8870,8680,9220,9000,9430,9550,9140,9820,10.3k
Japan,20.1k,21.4k,22k,22.4k,23k,24.1k,25.3k,26k,25.8k,26.1k,27.7k,28.4k,29k,29.9k,31.4k,32.9k,34.5k,36.1k,36.2k,34.4k,36.3k,37.3k,38.6k,40.8k,41k,42.5k,42k,43k,43.8k,44.4k,44k,46.4k,50.2k,52.8k
Kazakhstan,,,,6460,5830,5560,5780,6090,6200,6410,6960,8140,9120,9980,11k,11.9k,13.2k,14.5k,14.8k,15.5k,16.2k,17.3k,18.5k,21.2k,21.5k,21.1k,20.8k,21.4k,22k,25.1k,26.5k,28.9k,31.8k,34.7k
